物品ID,GroupID,名字,物品类,物品小类,使用国籍,使用职业,使用职业分支,使用等级,天境等级,叠放数量,买入基础价格,卖出基础价格,基础物品档次,拾取后广播标志,拥有最多个数,能否放快捷栏,绑定标志位,使用期限,死亡掉落固定概率,物品栏图片_正常,物品栏图片_高亮,物品栏图片_无效,物品图标光效ID,宝箱外观资源ID,宝箱闪烁资源ID,是否任务物品,描述,任务物品丢弃时可以配置,使用次数,作用id,浮动提示,是否需要掷骰子,是否同步扩展数据,怪物掉装的音效ID,跨服海盗,物品价值/礼包售价,价值类型0普通1礼包2绑金,家园仓库0不可1可
9239,9239,声望礼包(二),2,3,0,10000,10000,10,,10,100,1,7,1,0,1,33,0,0,1419,1419,1419,0,4427,1008,0,将指定装备改造到传说以上，即可打开活跃度商店领取。<br>[green]右键点击打开，可获得一定数量副本声望。[/green],,1,9239,,1,0,0,0,1,0,0
9240,9240,声望礼包(三),2,3,0,10000,10000,10,,10,100,1,7,1,0,1,33,0,0,1419,1419,1419,0,4427,1008,0,将指定装备改造到传说以上，即可打开活跃度商店领取。<br>[green]右键点击打开，可获得一定数量副本声望。[/green],,1,9240,,1,0,0,0,1,0,0
9241,9241,声望礼包(四),2,3,0,10000,10000,10,,10,100,1,7,1,0,1,33,0,0,1419,1419,1419,0,4427,1008,0,将指定装备改造到传说以上，即可打开活跃度商店领取。<br>[green]右键点击打开，可获得一定数量副本声望。[/green],,1,9241,,1,0,0,0,1,0,0
9242,9242,声望礼包(五),2,3,0,10000,10000,10,,10,100,1,7,1,0,1,33,0,0,1419,1419,1419,0,4427,1008,0,将指定装备改造到传说以上，即可打开活跃度商店领取。<br>[green]右键点击打开，可获得一定数量副本声望。[/green],,1,9242,,1,0,0,0,1,0,0
9243,9243,声望礼包(六),2,3,0,10000,10000,10,,10,100,1,7,1,0,1,33,0,0,1419,1419,1419,0,4427,1008,0,将指定装备改造到传说以上，即可打开活跃度商店领取。<br>[green]右键点击打开，可获得一定数量副本声望。[/green],,1,9243,,1,0,0,0,1,0,0
9244,9244,彩陶石,2,10,0,10000,10000,0,,100,100,1,3,1,0,1,13,0,0,2475,2475,2475,0,4427,1008,0,运商任务物品<br><br>接受运商任务后，可在沙漠商人处购买或出售。,,1,0,,1,0,0,0,1,0,0
9245,9245,夜明珠,2,10,0,10000,10000,0,,100,100,1,3,1,0,1,13,0,0,1771,1771,1771,0,4427,1008,0,运商任务物品<br><br>接受运商任务后，可在沙漠商人处购买或出售。,,1,0,,1,0,0,0,1,0,0
9246,9246,黄铜矿,2,10,0,10000,10000,0,,100,100,1,3,1,0,1,13,0,0,2474,2474,2474,0,4427,1008,0,运商任务物品<br><br>接受运商任务后，可在沙漠商人处购买或出售。,,1,0,,1,0,0,0,1,0,0
9247,9247,芦荟,2,10,0,10000,10000,0,,100,100,1,3,1,0,1,13,0,0,2471,2471,2471,0,4427,1008,0,运商任务物品<br><br>接受运商任务后，可在沙漠商人处购买或出售。,,1,0,,1,0,0,0,1,0,0
9248,9248,百岁兰,2,10,0,10000,10000,0,,100,100,1,3,1,0,1,13,0,0,2470,2470,2470,0,4427,1008,0,运商任务物品<br><br>接受运商任务后，可在沙漠商人处购买或出售。,,1,0,,1,0,0,0,1,0,0
9249,9249,孔雀石,2,10,0,10000,10000,0,,100,100,1,3,1,0,1,13,0,0,2476,2476,2476,0,4427,1008,0,运商任务物品<br><br>接受运商任务后，可在沙漠商人处购买或出售。,,1,0,,1,0,0,0,1,0,0
9250,9250,杜康酒,2,10,0,10000,10000,0,,100,100,1,3,1,0,1,13,0,0,2270,2270,2270,0,4427,1008,0,运商任务物品<br><br>接受运商任务后，可在沙漠商人处购买或出售。,,1,0,,1,0,0,0,1,0,0
9251,9251,鸡血石,2,10,0,10000,10000,0,,100,100,1,3,1,0,1,13,0,0,2473,2473,2473,0,4427,1008,0,运商任务物品<br><br>接受运商任务后，可在沙漠商人处购买或出售。,,1,0,,1,0,0,0,1,0,0
9252,9252,沙玫瑰,2,10,0,10000,10000,0,,100,100,1,3,1,0,1,13,0,0,2469,2469,2469,0,4427,1008,0,运商任务物品<br><br>接受运商任务后，可在沙漠商人处购买或出售。,,1,0,,1,0,0,0,1,0,0
9253,9253,马莲,2,10,0,10000,10000,0,,100,100,1,3,1,0,1,13,0,0,2472,2472,2472,0,4427,1008,0,运商任务物品<br><br>接受运商任务后，可在沙漠商人处购买或出售。,,1,0,,1,0,0,0,1,0,0
9261,9261,1000副本声望珠,2,12,0,10000,10000,0,,20,100,1,3,1,0,1,33,0,0,1685,1685,1685,0,4427,1008,0,右键打开开启可获得1000副本声望<br><br>[red]维护游戏公平，数据异常补偿专用[/red],,1,9261,,1,0,0,0,1,0,0
9262,9262,2000副本声望珠,2,12,0,10000,10000,0,,20,100,1,4,1,0,1,33,0,0,1685,1685,1685,0,4427,1008,0,右键打开开启可获得2000副本声望<br><br>[red]维护游戏公平，数据异常补偿专用[/red],,1,9262,,1,0,0,0,1,0,0
9263,9263,10000副本声望珠,2,12,0,10000,10000,0,,20,100,1,6,1,0,1,33,0,0,1685,1685,1685,0,4427,1008,0,右键打开开启可获得10000副本声望<br><br>[red]维护游戏公平，数据异常补偿专用[/red],,1,9263,,1,0,0,0,1,0,0
9264,9264,20000副本声望珠,2,12,0,10000,10000,0,,20,100,1,7,1,0,1,33,0,0,1685,1685,1685,0,4427,1008,0,右键打开开启可获得20000副本声望<br><br>[red]维护游戏公平，数据异常补偿专用[/red],,1,9264,,1,0,0,0,1,0,0
9265,9265,10两军饷,2,12,0,10000,10000,0,,20,100,1,3,1,0,1,33,0,0,1687,1687,1687,0,4427,1008,0,右键打开开启可获得10两军饷<br><br>[red]维护游戏公平，数据异常补偿专用[/red],,1,9265,,1,0,0,0,1,0,0
9266,9266,20两军饷,2,12,0,10000,10000,0,,20,100,1,4,1,0,1,33,0,0,1687,1687,1687,0,4427,1008,0,右键打开开启可获得20两军饷<br><br>[red]维护游戏公平，数据异常补偿专用[/red],,1,9266,,1,0,0,0,1,0,0
9267,9267,1锭军饷,2,12,0,10000,10000,0,,1,100,1,6,1,0,1,33,0,0,1687,1687,1687,0,4427,1008,0,右键打开开启可获得1锭军饷<br><br>[red]维护游戏公平，数据异常补偿专用[/red],,1,9267,,1,0,0,0,1,0,0
9268,9268,2锭军饷,2,12,0,10000,10000,0,,1,100,1,7,1,0,1,33,0,0,1687,1687,1687,0,4427,1008,0,右键打开开启可获得2锭军饷<br><br>[red]维护游戏公平，数据异常补偿专用[/red],,1,9268,,1,0,0,0,1,0,0
9269,9269,10两军饷,2,12,0,10000,10000,0,,20,100,1,3,1,0,1,33,0,0,1687,1687,1687,0,4427,1008,0,右键打开开启可获得10两军饷<br><br>[red]维护游戏公平，数据异常补偿专用[/red],,1,9269,,1,0,0,0,1,0,0
9270,9270,20两军饷,2,12,0,10000,10000,0,,20,100,1,4,1,0,1,33,0,0,1687,1687,1687,0,4427,1008,0,右键打开开启可获得20两军饷<br><br>[red]维护游戏公平，数据异常补偿专用[/red],,1,9270,,1,0,0,0,1,0,0
9271,9271,1锭军饷,2,12,0,10000,10000,0,,1,100,1,6,1,0,1,33,0,0,1687,1687,1687,0,4427,1008,0,右键打开开启可获得1锭军饷<br><br>[red]维护游戏公平，数据异常补偿专用[/red],,1,9271,,1,0,0,0,1,0,0
9272,9272,2锭军饷,2,12,0,10000,10000,0,,1,100,1,7,1,0,1,33,0,0,1687,1687,1687,0,4427,1008,0,右键打开开启可获得2锭军饷<br><br>[red]维护游戏公平，数据异常补偿专用[/red],,1,9272,,1,0,0,0,1,0,0
9273,9273,1000历练声望珠,2,12,0,10000,10000,0,,20,100,1,3,1,0,1,33,0,0,1688,1688,1688,0,4427,1008,0,右键打开开启可获得1000历练声望<br><br>[red]维护游戏公平，数据异常补偿专用[/red],,1,9273,,1,0,0,0,1,0,0
9274,9274,2000历练声望珠,2,12,0,10000,10000,0,,20,100,1,4,1,0,1,33,0,0,1688,1688,1688,0,4427,1008,0,右键打开开启可获得2000历练声望<br><br>[red]维护游戏公平，数据异常补偿专用[/red],,1,9274,,1,0,0,0,1,0,0
9275,9275,10000历练声望珠,2,12,0,10000,10000,0,,1,100,1,6,1,0,1,33,0,0,1688,1688,1688,0,4427,1008,0,右键打开开启可获得10000历练声望<br><br>[red]维护游戏公平，数据异常补偿专用[/red],,1,9275,,1,0,0,0,1,0,0
9276,9276,20000历练声望珠,2,12,0,10000,10000,0,,1,100,1,7,1,0,1,33,0,0,1688,1688,1688,0,4427,1008,0,右键打开开启可获得20000历练声望<br><br>[red]维护游戏公平，数据异常补偿专用[/red],,1,9276,,1,0,0,0,1,0,0
9277,9277,1000师徒声望珠,2,12,0,10000,10000,0,,20,100,1,3,1,0,1,33,0,0,1687,1687,1687,0,4427,1008,0,右键打开开启可获得1000师徒声望<br><br>[red]维护游戏公平，数据异常补偿专用[/red],,1,9277,,1,0,0,0,1,0,0
9278,9278,2000师徒声望珠,2,12,0,10000,10000,0,,20,100,1,4,1,0,1,33,0,0,1687,1687,1687,0,4427,1008,0,右键打开开启可获得2000师徒声望<br><br>[red]维护游戏公平，数据异常补偿专用[/red],,1,9278,,1,0,0,0,1,0,0
9279,9279,10000师徒声望珠,2,12,0,10000,10000,0,,1,100,1,6,1,0,1,33,0,0,1687,1687,1687,0,4427,1008,0,右键打开开启可获得10000师徒声望<br><br>[red]维护游戏公平，数据异常补偿专用[/red],,1,9279,,1,0,0,0,1,0,0
9280,9280,20000师徒声望珠,2,12,0,10000,10000,0,,1,100,1,7,1,0,1,33,0,0,1687,1687,1687,0,4427,1008,0,右键打开开启可获得20000师徒声望<br><br>[red]维护游戏公平，数据异常补偿专用[/red],,1,9280,,1,0,0,0,1,0,0
9281,9281,10两军饷,2,12,0,10000,10000,0,,20,100,1,3,1,0,1,33,0,0,1687,1687,1687,0,4427,1008,0,右键打开开启可获得10两军饷<br><br>[red]维护游戏公平，数据异常补偿专用[/red],,1,9281,,1,0,0,0,1,0,0
9282,9282,20两军饷,2,12,0,10000,10000,0,,20,100,1,4,1,0,1,33,0,0,1687,1687,1687,0,4427,1008,0,右键打开开启可获得20两军饷<br><br>[red]维护游戏公平，数据异常补偿专用[/red],,1,9282,,1,0,0,0,1,0,0
9283,9283,1锭军饷,2,12,0,10000,10000,0,,1,100,1,6,1,0,1,33,0,0,1687,1687,1687,0,4427,1008,0,右键打开开启可获得1锭军饷<br><br>[red]维护游戏公平，数据异常补偿专用[/red],,1,9283,,1,0,0,0,1,0,0
9284,9284,2锭军饷,2,12,0,10000,10000,0,,1,100,1,7,1,0,1,33,0,0,1687,1687,1687,0,4427,1008,0,右键打开开启可获得2锭军饷<br><br>[red]维护游戏公平，数据异常补偿专用[/red],,1,9284,,1,0,0,0,1,0,0
9285,9285,刺绣,2,10,0,10000,10000,0,,100,100,1,3,1,0,1,13,0,0,1344,1344,1344,0,4427,1008,0,运商任务物品<br><br>接受运商任务后，可在沙漠商人处购买或出售。,,1,0,,1,0,0,0,1,0,0
9286,9286,大红袍,2,10,0,10000,10000,0,,100,100,1,3,1,0,1,13,0,0,1342,1342,1342,0,4427,1008,0,运商任务物品<br><br>接受运商任务后，可在沙漠商人处购买或出售。,,1,0,,1,0,0,0,1,0,0
9287,9287,银镜,2,10,0,10000,10000,0,,100,100,1,3,1,0,1,13,0,0,2262,2262,2262,0,4427,1008,0,运商任务物品<br><br>接受运商任务后，可在沙漠商人处购买或出售。,,1,0,,1,0,0,0,1,0,0
9288,9288,珠宝,2,10,0,10000,10000,0,,100,100,1,3,1,0,1,13,0,0,2454,2454,2454,0,4427,1008,0,运商任务物品<br><br>接受运商任务后，可在沙漠商人处购买或出售。,,1,0,,1,0,0,0,1,0,0
9289,9289,铁剑,2,10,0,10000,10000,0,,100,100,1,3,1,0,1,13,0,0,2404,2404,2404,0,4427,1008,0,运商任务物品<br><br>接受运商任务后，可在沙漠商人处购买或出售。,,1,0,,1,0,0,0,1,0,0
9290,9290,盾牌,2,10,0,10000,10000,0,,100,100,1,3,1,0,1,13,0,0,59,59,59,0,4427,1008,0,运商任务物品<br><br>接受运商任务后，可在沙漠商人处购买或出售。,,1,0,,1,0,0,0,1,0,0
9291,9291,儒家经典,2,10,0,10000,10000,0,,100,100,1,3,1,0,1,13,0,0,2294,2294,2294,0,4427,1008,0,运商任务物品<br><br>接受运商任务后，可在沙漠商人处购买或出售。,,1,0,,1,0,0,0,1,0,0
9292,9292,白鬃马,2,10,0,10000,10000,0,,100,100,1,3,1,0,1,13,0,0,147,147,147,0,4427,1008,0,运商任务物品<br><br>接受运商任务后，可在沙漠商人处购买或出售。,,1,0,,1,0,0,0,1,0,0
21000,21000,绑定银两,2,12,0,10000,10000,0,,100,100,1,1,1,0,1,61,0,0,2453,2453,2453,0,4427,1008,0,右键打开获得绑定银两99两99文,,0,21000,,1,0,0,0,1,0,0
21001,21001,绑定银两,2,12,0,10000,10000,0,,100,100,1,1,1,0,1,61,0,0,2453,2453,2453,0,4427,1008,0,右键打开获得绑定银两1锭99两99文,,0,21001,,1,0,0,0,1,0,0
21002,21002,绑定银两,2,12,0,10000,10000,0,,100,100,1,1,1,0,1,61,0,0,2452,2452,2452,0,4427,1008,0,右键打开获得绑定银两4锭99两99文,,0,21002,,1,0,0,0,1,0,0
21003,21003,初级唤鬼神符(下部),2,12,0,10000,10000,0,,100,100,1,1,1,0,1,124,0,0,2455,2455,2455,0,4427,1008,0,简陋的唤鬼神符碎片，右键点击可合成[yellow]初级唤鬼神符(完整)[/yellow],,0,21003,,1,0,0,0,1,0,0
21004,21004,初级唤鬼神符(中部),2,12,0,10000,10000,0,,100,100,1,1,1,0,1,124,0,0,2455,2455,2455,0,4427,1008,0,简陋的唤鬼神符碎片，右键点击可合成[yellow]初级唤鬼神符(完整)[/yellow],,0,21004,,1,0,0,0,1,0,0
21005,21005,初级唤鬼神符(上部),2,12,0,10000,10000,0,,100,100,1,1,1,0,1,124,0,0,2455,2455,2455,0,4427,1008,0,简陋的唤鬼神符碎片，右键点击可合成[yellow]初级唤鬼神符(完整)[/yellow],,0,21005,,1,0,0,0,1,0,0
21006,21006,初级唤鬼神符,2,12,0,10000,10000,0,,100,100,1,1,1,0,1,124,0,0,2456,2456,2456,0,4427,1008,0,[yellow]右键点击使用，可在提示的地图中揪出深藏已久的窃贼，击败它会有一定的银两和绑银奖励，召唤者会获得额外奖励[/yellow]<br>[red]窃贼会在3分钟内逃脱，每受到一定伤害后会掉落绑银或银两，血量越少掉落越多[/red]<br>[red]注意：窃贼携带了大约52锭绑银和银两[/red],,0,21006,,1,0,0,0,1,0,0
21007,21007,中级唤鬼神符(卷首),2,12,0,10000,10000,0,,100,100,1,1,1,0,1,124,0,0,2457,2457,2457,0,4427,1008,0,一般的唤鬼神符碎片，右键点击可合成[yellow]中级唤鬼神符(完整)[/yellow],,0,21007,,1,0,0,0,1,0,0
21008,21008,中级唤鬼神符(卷中甲),2,12,0,10000,10000,0,,100,100,1,1,1,0,1,124,0,0,2457,2457,2457,0,4427,1008,0,一般的唤鬼神符碎片，右键点击可合成[yellow]中级唤鬼神符(完整)[/yellow],,0,21008,,1,0,0,0,1,0,0
21009,21009,中级唤鬼神符(卷尾),2,12,0,10000,10000,0,,100,100,1,1,1,0,1,124,0,0,2457,2457,2457,0,4427,1008,0,一般的唤鬼神符碎片，右键点击可合成[yellow]中级唤鬼神符(完整)[/yellow],,0,21009,,1,0,0,0,1,0,0
21010,21010,中级唤鬼神符(卷中乙),2,12,0,10000,10000,0,,100,100,1,1,1,0,1,124,0,0,2457,2457,2457,0,4427,1008,0,一般的唤鬼神符碎片，右键点击可合成[yellow]中级唤鬼神符(完整)[/yellow],,0,21010,,1,0,0,0,1,0,0
21011,21011,中级唤鬼神符,2,12,0,10000,10000,0,,100,100,1,1,1,0,1,124,0,0,2458,2458,2458,0,4427,1008,0,[yellow]右键点击使用，可在提示的地图中揪出深藏已久的窃贼，击败它会有可观的银两和绑银奖励，召唤者会获得额外奖励[/yellow]<br>[red]窃贼会在5分钟内逃脱，每受到一定伤害后会掉落绑银或银两。血量越少掉落越多[/red]<br>[red]注意：窃贼携带了大约152锭绑银和银两[/red],,0,21011,,1,0,0,0,1,0,0
21012,21012,高级唤鬼神符(上部),2,12,0,10000,10000,0,,100,100,1,1,1,0,1,124,0,0,2459,2459,2459,0,4427,1008,0,精致的唤鬼神符碎片，右键点击可合成[yellow]高级唤鬼神符(完整)[/yellow],,0,21012,,1,0,0,0,1,0,0
21013,21013,高级唤鬼神符(下部),2,12,0,10000,10000,0,,100,100,1,1,1,0,1,124,0,0,2459,2459,2459,0,4427,1008,0,精致的唤鬼神符碎片，右键点击可合成[yellow]高级唤鬼神符(完整)[/yellow],,0,21013,,1,0,0,0,1,0,0
21014,21014,高级唤鬼神符(左部),2,12,0,10000,10000,0,,100,100,1,1,1,0,1,124,0,0,2459,2459,2459,0,4427,1008,0,精致的唤鬼神符碎片，右键点击可合成[yellow]高级唤鬼神符(完整)[/yellow],,0,21014,,1,0,0,0,1,0,0
21015,21015,高级唤鬼神符(右部),2,12,0,10000,10000,0,,100,100,1,1,1,0,1,124,0,0,2459,2459,2459,0,4427,1008,0,精致的唤鬼神符碎片，右键点击可合成[yellow]高级唤鬼神符(完整)[/yellow],,0,21015,,1,0,0,0,1,0,0
21016,21016,高级唤鬼神符(中部),2,12,0,10000,10000,0,,100,100,1,1,1,0,1,124,0,0,2459,2459,2459,0,4427,1008,0,精致的唤鬼神符碎片，右键点击可合成[yellow]高级唤鬼神符(完整)[/yellow],,0,21016,,1,0,0,0,1,0,0
21017,21017,高级唤鬼神符,2,12,0,10000,10000,0,,100,100,1,1,1,0,1,124,0,0,2460,2460,2460,0,4427,1008,0,[yellow]右键点击使用，可在提示的地图中揪出深藏已久的窃贼，击败它会有大量的银两和绑银奖励，召唤者会获得额外奖励[/yellow]<br>[red]窃贼会在8分钟内逃脱，每受到一定伤害后会掉落绑银或银两，血量越少掉落越多[/red]<br>[red]注意：窃贼携带了大约528锭绑银和银两[/red],,0,21017,,1,0,0,0,1,0,0
21018,21018,参须,2,12,0,10000,10000,0,,100,100,1,1,1,0,1,124,0,0,1205,1205,1205,0,4427,1008,0,<br>3锭绑定银两,,0,21018,,1,0,0,0,1,0,0
21019,21019,参芽,2,12,0,10000,10000,0,,100,100,1,1,1,0,1,124,0,0,1205,1205,1205,0,4427,1008,0,<br>3锭绑定银两,,0,21019,,1,0,0,0,1,0,0
21020,21020,参叶,2,12,0,10000,10000,0,,100,100,1,1,1,0,1,124,0,0,1205,1205,1205,0,4427,1008,0,<br>3锭绑定银两,,0,21020,,1,0,0,0,1,0,0
21021,21021,人参,2,12,0,10000,10000,0,,100,15000,3000,1,1,0,1,124,0,0,2302,2302,2302,0,4427,1008,0,[blue]珍稀药材[/blue]<br><br>[yellow]卖给杂货商可获得银两30两[/yellow],,1,21021,,1,0,0,0,1,0,0
21022,21022,百年人参,2,12,0,10000,10000,0,,100,30000,6000,1,1,0,1,124,0,0,2303,2303,2303,0,4427,1008,0,[blue]珍稀药材[/blue]<br><br>[yellow]卖给杂货商可获得银两60两[/yellow],,1,21022,,1,0,0,0,1,0,0
21023,21023,千年人参,2,12,0,10000,10000,0,,100,50000,10000,1,1,0,1,124,0,0,2303,2303,2303,0,4427,1008,0,[blue]珍稀药材[/blue]<br><br>[yellow]卖给杂货商可获得银两1锭[/yellow],,1,21023,,1,0,0,0,1,0,0
21024,21024,银两,2,12,0,10000,10000,0,,100,100,1,1,1,0,1,124,0,0,2453,2453,2453,0,4427,1008,0,右键打开获得银两9两99文,,0,21024,,1,0,0,0,1,0,0
21025,21025,银两,2,12,0,10000,10000,0,,100,100,1,1,1,0,1,124,0,0,2453,2453,2453,0,4427,1008,0,右键打开获得银两19两99文,,0,21025,,1,0,0,0,1,0,0
21026,21026,银两,2,12,0,10000,10000,0,,100,100,1,1,1,0,1,124,0,0,2452,2452,2452,0,4427,1008,0,右键打开获得银两49两99文,,0,21026,,1,0,0,0,1,0,0
21027,21027,银两,2,12,0,10000,10000,0,,100,100,1,1,1,0,1,124,0,0,2452,2452,2452,0,4427,1008,0,右键打开获得银两40两,,0,21027,,1,0,0,0,1,0,0
21028,21028,银两,2,12,0,10000,10000,0,,100,100,1,1,1,0,1,124,0,0,2452,2452,2452,0,4427,1008,0,右键打开获得银两1锭60两,,0,21028,,1,0,0,0,1,0,0
21036,21036,海洋祝福(普通),2,16,0,10000,10000,70,,9999,100,1,1,33,0,0,124,0,0,2965,2965,2965,0,4427,4050,0,[blue]珍稀材料<br>海洋之精华，可提升装备祝福属性[/blue]<br>[yellow]五个海洋祝福(普通)合成一个海洋祝福(优质)<br>可通过完成无尽之洋任务、击杀无尽之洋聚宝怪和[海洋祝福(优质)]分解获得[/yellow] ,,1,0,,3,0,0,0,1,0,0
21037,21037,海洋祝福(优质),2,16,0,10000,10000,70,,9999,100,1,2,33,0,0,124,0,0,2966,2966,2966,0,4427,4050,0,[blue]珍稀材料<br>海洋之精华，可提升装备祝福属性[/blue]<br>[yellow]五个海洋祝福(优质)合成一个海洋祝福(稀有)，一个海洋祝福(优质)可分解两个海洋祝福(普通)<br>击杀无尽之洋聚宝怪和首领、[海洋祝福(普通)]合成和[海洋祝福(稀有)]分解获得[/yellow] ,,1,0,,3,0,0,0,1,0,0
21038,21038,海洋祝福(稀有),2,16,0,10000,10000,70,,9999,100,1,3,33,0,0,124,0,0,2967,2967,3456,0,4427,4050,0,[blue]珍稀材料<br>海洋之精华，可提升装备祝福属性[/blue]<br>[yellow]五个海洋祝福(稀有)合成一个海洋祝福(神话)，一个海洋祝福(稀有)可分解两个海洋祝福(优质)<br>击杀无尽之洋首领、由[海洋祝福(优质)]合成和[海洋祝福(神话)]分解获得[/yellow] ,,1,0,,3,0,0,0,1000,0,0
21039,21039,海洋祝福(神话),2,16,0,10000,10000,70,,9999,100,1,4,33,0,0,124,0,0,2968,2968,3457,0,4427,4050,0,[blue]珍稀材料<br>海洋之精华，可提升装备祝福属性[/blue]<br>[yellow]五个海洋祝福(神话)加上祝福卷轴合成一个海洋祝福(绝世)，一个海洋祝福(神话)可分解两个海洋祝福(稀有)<br>击杀无尽之洋首领和[海洋祝福(稀有)]合成获得[/yellow] ,,1,0,,3,0,0,0,1,0,0
21040,21040,海洋祝福(绝世),2,16,0,10000,10000,70,,9999,100,1,5,33,0,0,124,0,0,2969,2969,2969,0,4427,4050,0,[blue]珍稀材料<br>海洋之精华，可提升装备祝福属性[/blue]<br>[yellow]一个海洋祝福(绝世)可分解两个海洋祝福(神话)<br>击杀无尽之洋首领和[海洋卷轴]合成获得[/yellow] ,,1,0,,3,0,0,0,1,0,0
21041,21041,深海碧玉,2,10,0,10000,10000,70,,9999,100,1,7,1,0,0,124,0,0,2964,2964,2964,0,4427,4050,0,[blue]珍稀材料<br>海洋深处灵石之心，极其珍贵，是祝福必备的材料[/blue]<br>[yellow]商城购买和击杀无尽之洋首领获得[/yellow] ,,1,0,,1,0,0,0,100,0,0
23000,23000,[坐骑]天竺宝象（25级）,2,3,0,10000,10000,30,,1,100,1,1,33,0,0,61,0,0,2167,2167,2167,0,4427,1008,0,道具商城出售<br>[red]在无尽之洋无法骑乘[/red],,1,23000,,3,1,0,0,1,0,0
23001,23001,时装染料,2,12,0,10000,10000,0,,20,100,1,1,0,0,0,124,0,0,2498,2498,2498,0,4427,1008,0,名贵植物提取的天然原料，可以用来给时装染色，无毒无公害全天然产品。<br>购买后可以到周采芹(32，50)处改变时装颜色。,,0,0,,0,0,0,0,300,0,0
23002,23002,[坐骑]银色巨象（25级）,2,12,0,10000,10000,0,,20,100,1,1,0,0,0,124,0,0,2167,2167,2167,0,4427,1008,0,经过训练的战象，作战时冲锋陷阵，勇猛无敌，宽阔的象舆可以同时乘坐三个人。<br>[blue]双人坐骑上暂时无法参与跨服组队/PK，双人坐骑不会受到怪物及角色宝宝的主动攻击，免疫减速、恐惧、昏迷、变形效果及天师的冰封禁制。[/blue]<br>[red]在无尽之洋无法骑乘[/red],,1,23002,,0,0,0,0,1,0,0
23003,23003,[坐骑]金色战象（25级）,2,12,0,10000,10000,0,,20,100,1,1,0,0,0,124,0,0,2168,2168,2168,0,4427,1008,0,经过训练的战象，作战时冲锋陷阵，勇猛无敌，宽阔的象舆可以同时乘坐三个人。<br>[blue]多人坐骑上暂时无法参与跨服组队/PK，多人坐骑不会受到怪物及角色宝宝的主动攻击，免疫减速、恐惧、昏迷、变形效果及天师的冰封禁制。[/blue]<br>[red]在无尽之洋无法骑乘[/red],,1,23003,,0,0,0,0,1,0,0
23004,23004,[坐骑]玉兔呈祥(25级),2,12,0,10000,10000,0,,20,100,1,1,0,0,0,124,0,0,2164,2164,2164,0,4427,1008,0,可带给主人无限好运的坐骑<br>玉兔祥瑞兆丰年<br>[red]在无尽之洋无法骑乘[/red],,1,23004,,0,0,0,0,78800,0,0
23005,23005,[体验坐骑]骆驼(1级),2,12,0,10000,10000,0,,20,100,1,1,0,0,0,61,0,0,2170,2170,2170,0,4427,1008,0,满载珍稀货物的骆驼<br>开启后可使用7天<br>[red]在无尽之洋无法骑乘[/red],,1,23005,,0,0,0,0,1,0,0
23006,23006,[坐骑]玉兔呈祥(1级),2,12,0,10000,10000,0,,20,100,1,1,0,0,0,124,0,0,2164,2164,2164,0,4427,1008,0,可带给主人无限好运的坐骑<br>玉兔祥瑞兆丰年<br>[red]在无尽之洋无法骑乘[/red],,1,23006,,0,0,0,0,7888,0,0
23007,23007,校尉令,2,12,0,10000,10000,50,,20,100,1,1,0,0,0,61,0,0,2558,2558,2558,0,4427,1008,0,凭此物可以去落日沙漠[red]军团装备官（30，23）[/red]处兑换统领套装奖励。<br>完成粮草先行，保卫国土，边境刺探，边境养马任务可以获得。<br>荣耀属于军团,,1,0,,0,0,0,0,1,0,0
23008,23008,都尉令,2,12,0,10000,10000,70,,20,100,1,1,0,0,0,61,0,0,2559,2559,2559,0,4427,1008,0,凭此物可以去落日沙漠[red]军团装备官（30，23）[/red]处兑换统领套装奖励。<br>完成粮草先行，保卫国土，边境刺探，边境养马任务可以获得。<br>荣耀属于军团,,1,0,,0,0,0,0,1,0,0
23009,23009,先锋令,2,12,0,10000,10000,80,,20,100,1,1,0,0,0,61,0,0,2560,2560,2560,0,4427,1008,0,凭此物可以去落日沙漠[red]军团装备官（30，23）[/red]处兑换统领套装奖励。<br>完成粮草先行，保卫国土，边境刺探，边境养马任务可以获得。<br>荣耀属于军团,,1,0,,0,0,0,0,1,0,0
23010,23010,统领令,2,12,0,10000,10000,90,,20,100,1,1,0,0,0,61,0,0,2561,2561,2561,0,4427,1008,0,凭此物可以去落日沙漠[red]军团装备官（30，23）[/red]处兑换统领套装奖励。<br>完成粮草先行，保卫国土，边境刺探，边境养马任务可以获得。<br>荣耀属于军团,,1,0,,0,0,0,0,1,0,0
23011,23011,偏将令,2,12,0,10000,10000,100,,20,100,1,1,0,0,0,61,0,0,2562,2562,2562,0,4427,1008,0,凭此物可以去落日沙漠[red]军团装备官（30，23）[/red]处兑换统领套装奖励。<br>完成粮草先行，保卫国土，边境刺探，边境养马任务可以获得。<br>荣耀属于军团,,1,0,,0,0,0,0,1,0,0
23012,23012,会员校尉令,2,12,0,10000,10000,50,,20,100,1,1,0,0,0,61,0,0,2563,2563,2563,0,4427,1008,0,凭此物可以去落日沙漠[red]军团装备官（30，23）[/red]处兑换统领套装奖励。<br>完成粮草先行，保卫国土，边境刺探，边境养马任务可以获得。<br>右键点击可以分解成一个校尉令<br>荣耀属于军团,,1,0,,0,0,0,0,1,0,0
